3488 sayılı Uygulanma İmkanı Kalmamış Olan Kanunların Yürürlükten Kaldırılması Hakkında Kanun
Yayımlandığı Resmî Gazete Tarihi: 08.11.1988
Yayımlandığı Resmî Gazete Sayısı: 19983
Kabul Tarihi	27.10.1988
Madde 0001:
İlişik listedeki kanunlar, yürürlükten kaldırılmıştır.
UYGULANMA İMKANI KALMAMIŞ OLAN KANUNLARIN YÜRÜRLÜKTEN KALDIRILMASI HAKKINDA KANUNUN 1 inci MADDESİNİN EKİ
LİSTE
Kanun Tarihi	No.	A d ı
07.06.1336	6	Matbuat ve İstihbarat Müdüriyeti Umumiyesi Teşkiline Dair Kanun
02.08.1336	10	Ardiye Resminin On Misline İblağına Dair Kanun
23.08.1336	16	Memaliki Müstahlasa Ehalisinden Temettü ve Akarat Vergilerinin ve Tehcirden Avdet Edenlerden Temettü ve Akar ve Emlak ve Arazi Vergileriyle Küsuratı Munzammanın İstifası Hakkında Kanun
05.09.1336	18	Nisabı Müzakere Kanunu.
26.08.1336	27	Siirt Sancağının Müstakil Olmasına Dair Kanun
29.09.1336	30	Aşar Mültezimlerinden Edayı Deyin Edenlerin Emlaki Merhüne ve Mütefevvizelerinin İadesine Dair Kanun
30.09.1336	31	Sigara Kağıdı İstihlak Resminin Tezyidi Hakkında Kanun
30.09.1336	32	Kibrit İstihlak Resminin Tezyidi Hakkında Kanun
06.10.1336	35	Müessesatı Diniye ve Sıhhiye Eşyasının Gümrük Resmine Tabi Tutulmasına Dair Kanun
04.10.1336	40	Aksaray Kazasının Müstakil Liva Haline İfrağına Dair Kanun
25.10.1336	43	Harp Kazançları Vergisinin Tahsiline Dair Kanun
27.11.1336	58	Senei Haliye Ağnam Resmine Bir Misli Zamma Dair Kanun
27.11.1336	59	Tedavülden Kaldırılacak Meskukat-ı Mağşuşenin Temdidi Tedavülü Hakkında Kanun
28.11.1336	62	İdarei Umumiyei Vilayat Kanununun Yüz İkinci Maddesi Fıkrai Ahiresinin İlgasına Dair Kanun
04.12.1336	68	Giresun Müstakil Livası Teşkiline Dair Kanun
04.12.1336	69	Ordu Müstakil Livası Teşkiline Dair Kanun
09.12.1336	70	Genç Sancağının Müstakilen İdaresi Hakkında Kanun
11.12.1336	76	Talimgahtan Neşet Eden Efendilere Yüz Ellişer Lira İtasına Dair Kanun
25.12.1336	79	Matbuat Müdiriyeti Umumiyesinin Hariciye Vekaletine Raptına Dair Kanun
08.12.1337	82	Linyit Kömürü İhracı Hakkında Kanun
05.02.1337	91	Tedariki Vesaiti Nakliye Kanununun Yirmi ve Yirmi Birinci Mevadı Muaddelesi Yerine Kaim Kanun
05.02.1337	92	Sinop ta Tersane Namiyle Mevcut Mahallin Mahalli Belediyesine Terkine Dair Kanun
10.02.1337	94	Seyyar Jandarma Müfrezelerinin ilgası Hakkında Kanun
14.02.1337	96	Merzifon, Havza. Çalatlı Tarikinin Turuku Umumiye Meyanına ithali Hakkında Kanun
14.02.1337	97	Tabucu, Silifke, Mut, Karaman ve Afyonkarahisar, Sandıklı, Dinar, Baladis Tariklerinin Turuku Umumiye Meyanına İthaline Dair Kanun
21.02.1337	99	İdarei Umumiyei Vilayat Kanununun 116 ncı ve 140 ıncı Maddeleri Makamına Kaim Kanun
21.02.1337	100	Muallimin ve Talebenin Askerlikten Tecilleri Hakkında Kanun
30.04.1337	117	Edirne Teşkilatı Adliye Kanununun Altıncı Maddesinin Tadiline Dair Kanun
30.04.1337	118	Muamelatı İttihamiyenin İlgasına Dair Kanun
30.04.1337	120	Vilayatı Müstahiasa Ahalisine Verilmiş Olan Tohumlukların Affı Hakkında Kanun
30.04.1337	121	Ordu-Sivas Tarikinin Turuku Umumiye Meyanına İthaline Dair Kanun
16.05.1337	124	Tokat da Emlaki Emiriyeden Mutruk Kalhanenin Bedeli Mukadder Mukabilinde Mahalli Belediyesine Terki Hakkında Kanun
