5637 sayılı Uygulama İmkanı Kalmamış Bazı Kanunların Yürürlükten Kaldırılmasına Dair Kanun
Yayımlandığı Resmî Gazete Tarihi: 02.05.2007
Yayımlandığı Resmî Gazete Sayısı: 26510
Kabul Tarihi	26.04.2007
Madde 0001 : Yürürlükten kaldırılan kanunlar
(1) Ekli listede yer alan kanunlar yürürlükten kaldırılmıştır.
Madde 0002 : Yürürlük
(1) Bu Kanun yayımı tarihinde yürürlüğe girer.
Madde 0003 : Yürütme
(1) Bu Kanun hükümlerini Bakanlar Kurulu yürütür.
Liste :
Sıra  	  Kanunun  	  Kanunun
No.  	  Tarihi  	  Numarası  	  Kanunun Adı
1.  	  16 Teşrinisani 1329  	  Merakibi Bahriyeden Maada Mahallerde Kullanılan Müvellidi Buharlarla, Buhar Hazineleri ve Motörler Nizamnamesine Muhalefet Edenler Hakkında Kanunu Muvakkat
2.  	  21 Şaban 1332  	  10 Sâfer 1329 Tarihli Taşocakları Nizamnamesine Müzeyyel Kanun
3.  	  11/10/1920  	  38  	  Tababeti Adliye Kanunu
4.  	  6/4/1924  	  463  	  Zonguldak Şimendifer ve Liman Rüsumunun Tenzili Hakkında Kanun
5.  	  22/4/1924  	  506  	  Anadolu Demiryollarının Mübayaasına ve Müdiriyeti Umumiyesinin Teşkilât ve Vezaifine Dair Kanun
6.  	  2/12/1925  	  682  	  Her Nevi Fidan ve Tohumların Meccanen Tevzi ve Devlet Uhdesinde Bulunan Arazinin Fidanlık İhdası İçin Ziraat Vekaletine ve İdarei Hususiyelere Bilabedel Teffizi Hakkında Kanun
7.  	  9/12/1925  	  688  	  Yerli Kumaştan Elbise Giyilmesine Dair Kanun
8.  	  22/2/1926  	  748  	  Emvali Milliye ve Metrukeden veya Mazbut Vakıflardan, Bazı Müessesat ile Belediyelere Satılabilecek Arazi ve Arsalar Hakkında Kanun
9.  	  26/5/1926  	  859  	  İpek Böceği ve Tohumu Yetiştirilmesi ve Muayene ve Satılması Hakkında Kanun
10.  	  28/5/1927  	  1065  	  Türkiye Cumhuriyeti Dahilinde İfayı Vazife Eden Bazı Ecnebi Rüesa ve Memurları Muhassasatının Tevkifata Tabi Tutulmaması Hakkında Kanun
11.  	  25/6/1927  	  1147  	  Şimendiferlerde Nakli Memnu Olan Mevaddı İnfilâkiyenin Nakline Müsaade Hakkında Kanun
12.  	  1/4/1928  	  1217  	  Mübadeleye Gayri Tâbi Ahaliye Verilecek Emvali Gayrimenkule Hakkında Kanun
13.  	  24/5/1928  	  1341  	  Türkiye Cumhuriyeti ile Bulgaristan Kraliyeti Beyninde 18 Teşrinievvel 1925 Tarihinde Münakit Muhadenet Muahedenamesine Merbut Protokolun (C) Fıkrası Hükmüne Nazaran Emvali Gayrimenkullerini Bulgaristan'da Terketmiş Olanlara Verilecek Emval Hakkında Kanun
14.  	  10/6/1930  	  1711  	  Tasarruf Sandıkları Hakkında Kanun
15.  	  20/4/1933  	  2151  	  Hudut ve Sahiller Sıhhat Umum Müdürlüğü Memurları Maaşatının Tevhit ve Teadülü Hakkındaki 14 Nisan 1930 Tarih ve 1587 Numaralı Kanuna Müzeyyel Kanun
16.  	  5/6/1933  	  2270  	  Nahiye Müdürlerinin Tayini Sureti Hakkında Kanun
17.  	  9/6/1934  	  2502  	  Kars Vilayetiyle Bayazit, Erzurum ve Çoruh Vilayetlerinin Bazı Parçalarında Muhacir ve Sığıntıların Yerleştirilmesi ve Yerli Çiftçilerin  Topraklandırılması Hakkında  Kanun
18.  	  16/6/1934  	  2514  	  Divanı Muhasebat Kanunu
19.  	  5/7/1934  	  2582  	  Merinos Koyunları Yetiştirilmesi ve Islah Edilmiş Pamuk Tohumu Üretilmesi Hakkında Kanun
20.  	  3/6/1935  	  2755  	  Ankara Merkez Hıfzıssıhha Müessesesinde Kullanılacak Yabancı Uzmanlara Ait Kanun
21.  	  7/6/1935  	  2767  	  Sıtma ve Frengi İlaçları İçin Kanun
22.  	  9/10/1935  	  2825  	  Gümrük ve İnhisarlar Vekilliği Teşkilât ve Vazifeleri Hakkında Kanun
